
11520 atoms
2 atom types
   0.0000000000   80.0046997070 xlo xhi
   0.0000000000   16.8663997650 ylo yhi
   0.0000000000   77.4965972900 zlo zhi
   0.0000000000    0.0000000000    0.0000000000 xy xz yz

Masses

1 58.690000
2 16.000000

Atoms # spin

    76      1   0.67604000 	14.74612000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    77      1   7.34283000 	6.31292000 	1.34030000        -0.51638874 -0.81647984 -0.25826989  1.2737
    78      1   7.34283000 	14.74612000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    79      1   20.67721000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    80      1   20.67721000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    81      1   40.67839000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    82      1   40.67839000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    83      1   27.34401000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    84      1   27.34401000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    85      1   34.01160000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    86      1   34.01160000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    87      1   47.34518000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    88      1   47.34518000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    89      1   67.34636000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    90      1   67.34636000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    91      1   54.01277000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    92      1   54.01277000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    93      1   60.67956000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    94      1   60.67956000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    95      1   74.01395000 	6.31292000 	1.34030000      -0.51638874 -0.81647984 -0.25826989  1.2737
    96      1   74.01395000 	14.74612000 	1.34030000    -0.51638874 -0.81647984 -0.25826989  1.2737
    97      1   12.01031000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
    98      1   12.01031000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
    99      1   25.34389000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   100      1   25.34389000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   101      1   18.67710000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   102      1   18.67710000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   103      1   5.34271000 	4.20462000 	2.00716000        -0.51638874 -0.81647984 -0.25826989  1.2737
   104      1   5.34271000 	12.63782000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   105      1   38.67827000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   106      1   38.67827000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   107      1   52.01266000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   108      1   52.01266000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   109      1   45.34506000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   110      1   45.34506000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   111      1   32.01148000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   112      1   32.01148000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   113      1   65.34624000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   114      1   65.34624000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   115      1   78.68062000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   116      1   78.68062000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   117      1   72.01383000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   118      1   72.01383000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   119      1   58.67945000 	4.20462000 	2.00716000      -0.51638874 -0.81647984 -0.25826989  1.2737
   120      1   58.67945000 	12.63782000 	2.00716000    -0.51638874 -0.81647984 -0.25826989  1.2737
   121      1   10.01019000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   122      1   10.01019000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   123      1   23.34377000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   124      1   23.34377000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   125      1   16.67698000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   126      1   16.67698000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   127      1   3.34260000 	2.09632000 	2.67402000        -0.51638874 -0.81647984 -0.25826989  1.2737
   128      1   3.34260000 	10.52952000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   129      1   36.67815000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   130      1   36.67815000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   131      1   50.01254000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   132      1   50.01254000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   133      1   43.34495000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   134      1   43.34495000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   135      1   30.01136000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   136      1   30.01136000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   137      1   63.34612000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   138      1   63.34612000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
